Region,Year,Value,Crop
NUSA TENGGARA TIMUR,2011,524638,Jagung
KALIMANTAN BARAT,2011,160819,Jagung
KALIMANTAN TENGAH,2011,9208,Jagung
KALIMANTAN SELATAN,2011,99779,Jagung
KALIMANTAN TIMUR,2011,7341,Jagung
KALIMANTAN UTARA,2011,0,Jagung
SULAWESI UTARA,2011,438504,Jagung
SULAWESI TENGAH,2011,161810,Jagung
SULAWESI SELATAN,2011,1420154,Jagung
SULAWESI TENGGARA,2011,67997,Jagung
GORONTALO,2011,605782,Jagung
SULAWESI BARAT,2011,82995,Jagung
MALUKU,2011,13875,Jagung
MALUKU UTARA,2011,26149,Jagung
PAPUA BARAT,2011,2125,Jagung
PAPUA BARAT DAYA,2011,0,Jagung
PAPUA,2011,6885,Jagung
PAPUA SELATAN,2011,0,Jagung
PAPUA TENGAH,2011,0,Jagung
PAPUA PEGUNUNGAN,2011,0,Jagung
TOTAL,2011,17643250,Jagung
ACEH,2012,167285,Jagung
SUMATERA UTARA,2012,1347124,Jagung
SUMATERA BARAT,2012,495497,Jagung
RIAU,2012,31433,Jagung
JAMBI,2012,25571,Jagung
SUMATERA SELATAN,2012,112917,Jagung
BENGKULU,2012,103771,Jagung
LAMPUNG,2012,1760275,Jagung
KEP. BANGKA BELITUNG,2012,967,Jagung
KEP. RIAU,2012,849,Jagung
DKI JAKARTA,2012,6,Jagung
JAWA BARAT,2012,1028653,Jagung
JAWA TENGAH,2012,3041630,Jagung
DI YOGYAKARTA,2012,336608,Jagung
JAWA TIMUR,2012,6295301,Jagung
BANTEN,2012,9819,Jagung
BALI,2012,61873,Jagung
NUSA TENGGARA BARAT,2012,642674,Jagung
NUSA TENGGARA TIMUR,2012,629386,Jagung
KALIMANTAN BARAT,2012,170123,Jagung
KALIMANTAN TENGAH,2012,7947,Jagung
KALIMANTAN SELATAN,2012,112066,Jagung
KALIMANTAN TIMUR,2012,9940,Jagung
KALIMANTAN UTARA,2012,0,Jagung
SULAWESI UTARA,2012,440308,Jagung
SULAWESI TENGAH,2012,141649,Jagung
SULAWESI SELATAN,2012,1515329,Jagung
SULAWESI TENGGARA,2012,78447,Jagung
GORONTALO,2012,644754,Jagung
SULAWESI BARAT,2012,122554,Jagung
MALUKU,2012,18281,Jagung
MALUKU UTARA,2012,25543,Jagung
PAPUA BARAT,2012,2049,Jagung
PAPUA BARAT DAYA,2012,0,Jagung
PAPUA,2012,6393,Jagung
PAPUA SELATAN,2012,0,Jagung
PAPUA TENGAH,2012,0,Jagung
PAPUA PEGUNUNGAN,2012,0,Jagung
TOTAL,2012,19387022,Jagung
ACEH,2013,177842,Jagung
SUMATERA UTARA,2013,1183011,Jagung
SUMATERA BARAT,2013,547417,Jagung
RIAU,2013,28052,Jagung
JAMBI,2013,25690,Jagung
SUMATERA SELATAN,2013,167457,Jagung
BENGKULU,2013,93988,Jagung
LAMPUNG,2013,1760278,Jagung
KEP. BANGKA BELITUNG,2013,783,Jagung
KEP. RIAU,2013,790,Jagung
DKI JAKARTA,2013,0,Jagung
JAWA BARAT,2013,1101998,Jagung
JAWA TENGAH,2013,2930911,Jagung
DI YOGYAKARTA,2013,289580,Jagung
JAWA TIMUR,2013,5760959,Jagung
BANTEN,2013,12038,Jagung
BALI,2013,57573,Jagung
NUSA TENGGARA BARAT,2013,633773,Jagung
NUSA TENGGARA TIMUR,2013,707642,Jagung
KALIMANTAN BARAT,2013,159973,Jagung
KALIMANTAN TENGAH,2013,6217,Jagung
KALIMANTAN SELATAN,2013,107043,Jagung
KALIMANTAN TIMUR,2013,4864,Jagung
KALIMANTAN UTARA,2013,973,Jagung
SULAWESI UTARA,2013,448002,Jagung
SULAWESI TENGAH,2013,139266,Jagung
SULAWESI SELATAN,2013,1250202,Jagung
SULAWESI TENGGARA,2013,67578,Jagung
GORONTALO,2013,669094,Jagung
SULAWESI BARAT,2013,128327,Jagung
MALUKU,2013,11940,Jagung
MALUKU UTARA,2013,29421,Jagung
PAPUA BARAT,2013,2137,Jagung
PAPUA BARAT DAYA,2013,0,Jagung
PAPUA,2013,7034,Jagung
PAPUA SELATAN,2013,0,Jagung
PAPUA TENGAH,2013,0,Jagung
PAPUA PEGUNUNGAN,2013,0,Jagung
TOTAL,2013,18511853,Jagung
ACEH,2014,202318,Jagung
SUMATERA UTARA,2014,1159795,Jagung
SUMATERA BARAT,2014,605352,Jagung
RIAU,2014,28651,Jagung
JAMBI,2014,43617,Jagung
SUMATERA SELATAN,2014,191974,Jagung
BENGKULU,2014,72756,Jagung
LAMPUNG,2014,1719386,Jagung
KEP. BANGKA BELITUNG,2014,721,Jagung
KEP. RIAU,2014,703,Jagung
DKI JAKARTA,2014,0,Jagung
JAWA BARAT,2014,1047077,Jagung
JAWA TENGAH,2014,3051516,Jagung
DI YOGYAKARTA,2014,312236,Jagung
JAWA TIMUR,2014,5737382,Jagung
BANTEN,2014,10514,Jagung
BALI,2014,40613,Jagung
NUSA TENGGARA BARAT,2014,785864,Jagung
NUSA TENGGARA TIMUR,2014,647108,Jagung
KALIMANTAN BARAT,2014,135461,Jagung
KALIMANTAN TENGAH,2014,8138,Jagung
KALIMANTAN SELATAN,2014,117986,Jagung
KALIMANTAN TIMUR,2014,7567,Jagung
KALIMANTAN UTARA,2014,1235,Jagung
SULAWESI UTARA,2014,488362,Jagung
SULAWESI TENGAH,2014,170203,Jagung
SULAWESI SELATAN,2014,1490991,Jagung
SULAWESI TENGGARA,2014,60600,Jagung
GORONTALO,2014,719780,Jagung
SULAWESI BARAT,2014,110665,Jagung
MALUKU,2014,10568,Jagung
MALUKU UTARA,2014,19555,Jagung
PAPUA BARAT,2014,2450,Jagung
PAPUA BARAT DAYA,2014,0,Jagung
PAPUA,2014,7282,Jagung
PAPUA SELATAN,2014,0,Jagung
PAPUA TENGAH,2014,0,Jagung
PAPUA PEGUNUNGAN,2014,0,Jagung
TOTAL,2014,19008426,Jagung
ACEH,2011,39384,Ubi Kayu
SUMATERA UTARA,2011,1091711,Ubi Kayu
SUMATERA BARAT,2011,191946,Ubi Kayu
RIAU,2011,79480,Ubi Kayu
JAMBI,2011,40462,Ubi Kayu
SUMATERA SELATAN,2011,159346,Ubi Kayu
BENGKULU,2011,47735,Ubi Kayu
LAMPUNG,2011,9193676,Ubi Kayu
KEP. BANGKA BELITUNG,2011,13276,Ubi Kayu
KEP. RIAU,2011,7805,Ubi Kayu
DKI JAKARTA,2011,176,Ubi Kayu
JAWA BARAT,2011,2058785,Ubi Kayu
JAWA TENGAH,2011,3501458,Ubi Kayu
DI YOGYAKARTA,2011,867596,Ubi Kayu
JAWA TIMUR,2011,4032081,Ubi Kayu
BANTEN,2011,107052,Ubi Kayu
BALI,2011,166291,Ubi Kayu
NUSA TENGGARA BARAT,2011,75367,Ubi Kayu
NUSA TENGGARA TIMUR,2011,962128,Ubi Kayu
KALIMANTAN BARAT,2011,141550,Ubi Kayu
KALIMANTAN TENGAH,2011,49475,Ubi Kayu
KALIMANTAN SELATAN,2011,86504,Ubi Kayu
KALIMANTAN TIMUR,2011,91858,Ubi Kayu
KALIMANTAN UTARA,2011,0,Ubi Kayu
SULAWESI UTARA,2011,70147,Ubi Kayu
SULAWESI TENGAH,2011,83139,Ubi Kayu
SULAWESI SELATAN,2011,370125,Ubi Kayu
SULAWESI TENGGARA,2011,164850,Ubi Kayu
GORONTALO,2011,5910,Ubi Kayu
SULAWESI BARAT,2011,47670,Ubi Kayu
MALUKU,2011,125763,Ubi Kayu
MALUKU UTARA,2011,115940,Ubi Kayu
PAPUA BARAT,2011,20440,Ubi Kayu
PAPUA BARAT DAYA,2011,0,Ubi Kayu
PAPUA,2011,34899,Ubi Kayu
PAPUA SELATAN,2011,0,Ubi Kayu
PAPUA TENGAH,2011,0,Ubi Kayu
PAPUA PEGUNUNGAN,2011,0,Ubi Kayu
TOTAL,2011,24044025,Ubi Kayu
ACEH,2012,38257,Ubi Kayu
SUMATERA UTARA,2012,1171520,Ubi Kayu
SUMATERA BARAT,2012,213647,Ubi Kayu
RIAU,2012,88577,Ubi Kayu
JAMBI,2012,38978,Ubi Kayu
SUMATERA SELATAN,2012,143565,Ubi Kayu
BENGKULU,2012,57618,Ubi Kayu
LAMPUNG,2012,8387351,Ubi Kayu
KEP. BANGKA BELITUNG,2012,13469,Ubi Kayu
KEP. RIAU,2012,7666,Ubi Kayu
DKI JAKARTA,2012,47,Ubi Kayu
JAWA BARAT,2012,2131123,Ubi Kayu
JAWA TENGAH,2012,3848462,Ubi Kayu
DI YOGYAKARTA,2012,866357,Ubi Kayu
JAWA TIMUR,2012,4246028,Ubi Kayu
BANTEN,2012,82796,Ubi Kayu
BALI,2012,147201,Ubi Kayu
NUSA TENGGARA BARAT,2012,79472,Ubi Kayu
NUSA TENGGARA TIMUR,2012,892145,Ubi Kayu
KALIMANTAN BARAT,2012,153564,Ubi Kayu
KALIMANTAN TENGAH,2012,46630,Ubi Kayu
KALIMANTAN SELATAN,2012,90043,Ubi Kayu
KALIMANTAN TIMUR,2012,82786,Ubi Kayu
KALIMANTAN UTARA,2012,0,Ubi Kayu
SULAWESI UTARA,2012,63187,Ubi Kayu
SULAWESI TENGAH,2012,93642,Ubi Kayu
SULAWESI SELATAN,2012,682995,Ubi Kayu
SULAWESI TENGGARA,2012,175719,Ubi Kayu
GORONTALO,2012,3776,Ubi Kayu
SULAWESI BARAT,2012,48265,Ubi Kayu
MALUKU,2012,119545,Ubi Kayu
MALUKU UTARA,2012,116515,Ubi Kayu
PAPUA BARAT,2012,9747,Ubi Kayu
PAPUA BARAT DAYA,2012,0,Ubi Kayu
PAPUA,2012,36679,Ubi Kayu
PAPUA SELATAN,2012,0,Ubi Kayu
PAPUA TENGAH,2012,0,Ubi Kayu
PAPUA PEGUNUNGAN,2012,0,Ubi Kayu
TOTAL,2012,24177372,Ubi Kayu
ACEH,2013,34738,Ubi Kayu
SUMATERA UTARA,2013,1518221,Ubi Kayu
SUMATERA BARAT,2013,218830,Ubi Kayu
RIAU,2013,103070,Ubi Kayu
JAMBI,2013,33291,Ubi Kayu
SUMATERA SELATAN,2013,165250,Ubi Kayu
BENGKULU,2013,62193,Ubi Kayu
LAMPUNG,2013,8329201,Ubi Kayu
KEP. BANGKA BELITUNG,2013,14203,Ubi Kayu
KEP. RIAU,2013,8530,Ubi Kayu
DKI JAKARTA,2013,0,Ubi Kayu
JAWA BARAT,2013,2138532,Ubi Kayu
JAWA TENGAH,2013,4089635,Ubi Kayu
DI YOGYAKARTA,2013,1013565,Ubi Kayu
JAWA TIMUR,2013,3601074,Ubi Kayu
BANTEN,2013,97847,Ubi Kayu
BALI,2013,156953,Ubi Kayu
NUSA TENGGARA BARAT,2013,59085,Ubi Kayu
NUSA TENGGARA TIMUR,2013,811166,Ubi Kayu
KALIMANTAN BARAT,2013,168521,Ubi Kayu
KALIMANTAN TENGAH,2013,40762,Ubi Kayu
KALIMANTAN SELATAN,2013,87323,Ubi Kayu
KALIMANTAN TIMUR,2013,55519,Ubi Kayu
KALIMANTAN UTARA,2013,32935,Ubi Kayu
SULAWESI UTARA,2013,55207,Ubi Kayu
SULAWESI TENGAH,2013,100950,Ubi Kayu
SULAWESI SELATAN,2013,433399,Ubi Kayu
SULAWESI TENGGARA,2013,180680,Ubi Kayu
GORONTALO,2013,4537,Ubi Kayu
SULAWESI BARAT,2013,52972,Ubi Kayu
MALUKU,2013,97813,Ubi Kayu
MALUKU UTARA,2013,119799,Ubi Kayu
PAPUA BARAT,2013,12219,Ubi Kayu
PAPUA BARAT DAYA,2013,0,Ubi Kayu
PAPUA,2013,38901,Ubi Kayu
PAPUA SELATAN,2013,0,Ubi Kayu
PAPUA TENGAH,2013,0,Ubi Kayu
PAPUA PEGUNUNGAN,2013,0,Ubi Kayu
TOTAL,2013,23936921,Ubi Kayu
ACEH,2014,31621,Ubi Kayu
SUMATERA UTARA,2014,1383346,Ubi Kayu
SUMATERA BARAT,2014,217962,Ubi Kayu
RIAU,2014,117287,Ubi Kayu
JAMBI,2014,35550,Ubi Kayu
SUMATERA SELATAN,2014,220014,Ubi Kayu
BENGKULU,2014,78853,Ubi Kayu
LAMPUNG,2014,8034016,Ubi Kayu
KEP. BANGKA BELITUNG,2014,19759,Ubi Kayu
KEP. RIAU,2014,8979,Ubi Kayu
DKI JAKARTA,2014,0,Ubi Kayu
JAWA BARAT,2014,2250024,Ubi Kayu
JAWA TENGAH,2014,3977810,Ubi Kayu
DI YOGYAKARTA,2014,884931,Ubi Kayu
JAWA TIMUR,2014,3635454,Ubi Kayu
BANTEN,2014,85943,Ubi Kayu
BALI,2014,131887,Ubi Kayu
NUSA TENGGARA BARAT,2014,92643,Ubi Kayu
NUSA TENGGARA TIMUR,2014,677577,Ubi Kayu
KALIMANTAN BARAT,2014,192967,Ubi Kayu
KALIMANTAN TENGAH,2014,43342,Ubi Kayu
KALIMANTAN SELATAN,2014,92272,Ubi Kayu
KALIMANTAN TIMUR,2014,60941,Ubi Kayu
KALIMANTAN UTARA,2014,41947,Ubi Kayu
SULAWESI UTARA,2014,46553,Ubi Kayu
SULAWESI TENGAH,2014,84688,Ubi Kayu
SULAWESI SELATAN,2014,478486,Ubi Kayu
SULAWESI TENGGARA,2014,175086,Ubi Kayu
GORONTALO,2014,3987,Ubi Kayu
SULAWESI BARAT,2014,29902,Ubi Kayu
MALUKU,2014,97959,Ubi Kayu
MALUKU UTARA,2014,147917,Ubi Kayu
PAPUA BARAT,2014,11169,Ubi Kayu
PAPUA BARAT DAYA,2014,0,Ubi Kayu
PAPUA,2014,45512,Ubi Kayu
PAPUA SELATAN,2014,0,Ubi Kayu
PAPUA TENGAH,2014,0,Ubi Kayu
PAPUA PEGUNUNGAN,2014,0,Ubi Kayu
TOTAL,2014,23436384,Ubi Kayu
ACEH,2015,29131,Ubi Kayu
SUMATERA UTARA,2015,1619495,Ubi Kayu
SUMATERA BARAT,2015,208386,Ubi Kayu
RIAU,2015,103599,Ubi Kayu
JAMBI,2015,43433,Ubi Kayu
SUMATERA SELATAN,2015,217807,Ubi Kayu
BENGKULU,2015,80309,Ubi Kayu
LAMPUNG,2015,7387084,Ubi Kayu
KEP. BANGKA BELITUNG,2015,35024,Ubi Kayu
KEP. RIAU,2015,9157,Ubi Kayu
DKI JAKARTA,2015,0,Ubi Kayu
JAWA BARAT,2015,2000224,Ubi Kayu
JAWA TENGAH,2015,3571594,Ubi Kayu
DI YOGYAKARTA,2015,873362,Ubi Kayu
JAWA TIMUR,2015,3161573,Ubi Kayu
BANTEN,2015,74163,Ubi Kayu
BALI,2015,86070,Ubi Kayu
NUSA TENGGARA BARAT,2015,107254,Ubi Kayu
NUSA TENGGARA TIMUR,2015,637315,Ubi Kayu
KALIMANTAN BARAT,2015,173449,Ubi Kayu
KALIMANTAN TENGAH,2015,45712,Ubi Kayu
KALIMANTAN SELATAN,2015,71751,Ubi Kayu
KALIMANTAN TIMUR,2015,53966,Ubi Kayu
KALIMANTAN UTARA,2015,38936,Ubi Kayu
SULAWESI UTARA,2015,44123,Ubi Kayu
SULAWESI TENGAH,2015,47295,Ubi Kayu
SULAWESI SELATAN,2015,565958,Ubi Kayu
SULAWESI TENGGARA,2015,175095,Ubi Kayu
GORONTALO,2015,2653,Ubi Kayu
SULAWESI BARAT,2015,24984,Ubi Kayu
MALUKU,2015,134661,Ubi Kayu
MALUKU UTARA,2015,120283,Ubi Kayu
PAPUA BARAT,2015,11181,Ubi Kayu
PAPUA BARAT DAYA,2015,0,Ubi Kayu
PAPUA,2015,46388,Ubi Kayu
PAPUA SELATAN,2015,0,Ubi Kayu
PAPUA TENGAH,2015,0,Ubi Kayu
PAPUA PEGUNUNGAN,2015,0,Ubi Kayu
TOTAL,2015,21801415,Ubi Kayu
ACEH,2011,11844,Ubi Jalar
SUMATERA UTARA,2011,191104,Ubi Jalar
SUMATERA BARAT,2011,98120,Ubi Jalar
RIAU,2011,9912,Ubi Jalar
JAMBI,2011,68735,Ubi Jalar
SUMATERA SELATAN,2011,18309,Ubi Jalar
BENGKULU,2011,26445,Ubi Jalar
LAMPUNG,2011,47239,Ubi Jalar
KEP. BANGKA BELITUNG,2011,3009,Ubi Jalar
KEP. RIAU,2011,1805,Ubi Jalar
DKI JAKARTA,2011,0,Ubi Jalar
JAWA BARAT,2011,429378,Ubi Jalar
JAWA TENGAH,2011,157972,Ubi Jalar
DI YOGYAKARTA,2011,4584,Ubi Jalar
JAWA TIMUR,2011,217545,Ubi Jalar
BANTEN,2011,34589,Ubi Jalar
BALI,2011,69528,Ubi Jalar
NUSA TENGGARA BARAT,2011,11970,Ubi Jalar
NUSA TENGGARA TIMUR,2011,129728,Ubi Jalar
KALIMANTAN BARAT,2011,13774,Ubi Jalar
KALIMANTAN TENGAH,2011,8570,Ubi Jalar
KALIMANTAN SELATAN,2011,23918,Ubi Jalar
KALIMANTAN TIMUR,2011,21432,Ubi Jalar
KALIMANTAN UTARA,2011,0,Ubi Jalar
SULAWESI UTARA,2011,46266,Ubi Jalar
SULAWESI TENGAH,2011,25111,Ubi Jalar
SULAWESI SELATAN,2011,66946,Ubi Jalar
SULAWESI TENGGARA,2011,26476,Ubi Jalar
GORONTALO,2011,2565,Ubi Jalar
SULAWESI BARAT,2011,20455,Ubi Jalar
MALUKU,2011,17913,Ubi Jalar
MALUKU UTARA,2011,31943,Ubi Jalar
PAPUA BARAT,2011,10410,Ubi Jalar
PAPUA BARAT DAYA,2011,0,Ubi Jalar
PAPUA,2011,348438,Ubi Jalar
PAPUA SELATAN,2011,0,Ubi Jalar
PAPUA TENGAH,2011,0,Ubi Jalar
PAPUA PEGUNUNGAN,2011,0,Ubi Jalar
TOTAL,2011,2196033,Ubi Jalar
ACEH,2012,13356,Ubi Jalar
SUMATERA UTARA,2012,186583,Ubi Jalar
SUMATERA BARAT,2012,124881,Ubi Jalar
RIAU,2012,9424,Ubi Jalar
JAMBI,2012,80057,Ubi Jalar
SUMATERA SELATAN,2012,17380,Ubi Jalar
BENGKULU,2012,37271,Ubi Jalar
LAMPUNG,2012,47408,Ubi Jalar
KEP. BANGKA BELITUNG,2012,3303,Ubi Jalar
KEP. RIAU,2012,1916,Ubi Jalar
DKI JAKARTA,2012,0,Ubi Jalar
JAWA BARAT,2012,436577,Ubi Jalar
JAWA TENGAH,2012,166978,Ubi Jalar
DI YOGYAKARTA,2012,5047,Ubi Jalar
JAWA TIMUR,2012,411957,Ubi Jalar
BANTEN,2012,32756,Ubi Jalar
BALI,2012,62352,Ubi Jalar
NUSA TENGGARA BARAT,2012,13232,Ubi Jalar
NUSA TENGGARA TIMUR,2012,151864,Ubi Jalar
KALIMANTAN BARAT,2012,15169,Ubi Jalar
KALIMANTAN TENGAH,2012,9525,Ubi Jalar
KALIMANTAN SELATAN,2012,19608,Ubi Jalar
KALIMANTAN TIMUR,2012,16367,Ubi Jalar
KALIMANTAN UTARA,2012,0,Ubi Jalar
SULAWESI UTARA,2012,41227,Ubi Jalar
